Execution,Fitness,Penalty,Violated Constraints ,Feasibility
1,5995.211,0.031,"[2, 3, 4]",False
2,5241.761,0.037,"[0, 2, 3, 4]",False
3,5811.130,0.834,"[2, 3, 4]",False
4,5348.198,0.140,"[2, 3, 4]",False
5,5260.719,0.109,"[2, 3, 4]",False
6,6094.156,0.001,"[2, 3, 4]",False
7,5629.510,0.362,"[2, 3, 4]",False
8,5488.629,2.122,"[2, 3, 4]",False
9,5128.452,0.240,"[2, 3, 4]",False
10,5897.130,0.004,"[2, 3, 4]",False
11,5183.507,0.336,"[2, 3, 4]",False
12,5196.094,0.001,"[0, 2, 3, 4]",False
13,5410.804,0.049,"[2, 3, 4]",False
14,6003.256,2.394,"[2, 3, 4]",False
15,5131.895,0.001,"[2, 3, 4]",False
16,5813.441,0.080,"[2, 3, 4]",False
17,5148.428,0.066,"[2, 3, 4]",False
18,5146.717,0.090,"[2, 3, 4]",False
19,5468.606,0.182,"[2, 3, 4]",False
20,5176.616,0.009,"[2, 3, 4]",False
21,5374.745,0.108,"[2, 3, 4]",False
22,5603.872,0.011,"[2, 3, 4]",False
23,5126.824,7.095,"[2, 3, 4]",False
24,5808.203,5.990,"[2, 3, 4]",False
25,5135.631,0.079,"[2, 3, 4]",False
26,5140.845,0.008,"[2, 3, 4]",False
27,5546.744,0.064,"[2, 3, 4]",False
28,5220.557,2.351,"[2, 3, 4]",False
29,5176.948,0.832,"[2, 3, 4]",False
30,5129.863,0.034,"[2, 3, 4]",False
Mean,5427.950,0.789,,
Std Dev,315.385,1.713,,
,,,,
