Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G6,1,[14.07547211  0.80275674],-6992.216333010755,1.493192439193433e-05,"[0, 1]"
G6,2,[14.87139821  3.22375385],-4605.946747194644,0.0,[]
G6,3,[28.7089485   0.80274715],-526.2552205885286,91431080.57871166,[1]
G6,4,[14.07539569  0.80260086],-6992.2170807412385,1.5107327379804875e-05,"[0, 1]"
G6,5,[14.6253758   7.71128872],-1756.7911597424006,1.1715535545640574e-09,[0]
G6,6,[14.15261233  0.96226499],-6828.339798836614,0.0,[]
G6,7,[14.49562305  1.75767929],-5979.861443660167,0.0,[]
G6,8,[14.99911716  5.21058487],-3109.9076445910514,0.0,[]
G6,9,[14.08465665  0.8224756 ],-6979.691161546137,5.219581120999076e-06,"[0, 1]"
G6,10,[14.07534465  0.80250574],-6992.2163368029205,1.521578380053941e-05,"[0, 1]"
G6,11,[14.07548509  0.80276913],-6992.214132320308,1.4919784757857885e-05,"[0, 1]"
G6,12,[14.87053346  3.3951209 ],-4462.791377820996,0.0,[]
G6,13,[14.07529946  0.80239028],-6992.214042755719,1.534798699526878e-05,"[0, 1]"
G6,14,[14.07538876  0.80258736],-6992.2170909639235,1.5122587718540025e-05,"[0, 1]"
G6,15,[14.47153858  1.72468699],-6014.3112799047785,0.0,[]
G6,16,[14.0753832   0.80258224],-6992.216830113766,1.5128786924541654e-05,"[0, 1]"
G6,17,[14.10072683  0.85275518],-6949.260198829376,1.4872919631160396e-06,[1]
G6,18,[14.07523099  0.8022574 ],-6992.213358905814,1.54989964250109e-05,"[0, 1]"
G6,19,[14.19925268  8.9690331 ],3729.2053419667227,0.004997429542743403,[1]
G6,20,[14.56810173  2.00560411],-5731.22938907896,0.0,[]
G6,21,[14.7756421  30.31662264],1206.942942256463,256209129.854163,[1]
G6,22,[14.0753372  0.8024854],-6992.216683109447,1.5238299706086855e-05,"[0, 1]"
G6,23,[14.39842402  1.50205958],-6244.418065932873,0.0,[]
G6,24,[14.07540084  0.80261791],-6992.216859913932,1.5088448356799562e-05,"[0, 1]"
G6,25,[14.07539502  0.80261603],-6992.215171203415,1.509249920083901e-05,"[0, 1]"
G6,26,[14.07539831  0.80260534],-6992.217052742135,1.5102275767544456e-05,"[0, 1]"
G6,27,[14.52227121  1.90518555],-5832.1612617088085,0.0,[]
G6,28,[14.07535612  0.8025262 ],-6992.216753308208,1.5192169883346922e-05,"[0, 1]"
G6,29,[14.31830774  1.31424914],-6443.739179888524,0.0,[]
G6,30,[14.27650822  1.23232812],-6532.241739416901,0.0,[]
