Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G1,1,"[ 0.47867818  0.93714408  0.88892971  0.77718693  0.95185041  0.78796702
  0.99978772  0.99999991  0.35385406 98.00463702 83.26476636 65.98721781
  0.61750176]",-248.97158729249188,942.3716769570467,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,2,"[ 0.86516707  0.66030894  0.62253096  0.70340122  0.4593609   0.71823131
  0.71301302  0.85068487  0.83066398 43.75297373 70.26608821 69.81577753
  0.80911697]",-184.22404977515978,690.1996572994062,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,3,"[6.54787526e-01 2.33207354e-01 4.02174678e-01 3.92434020e-01
 4.10813871e-01 4.73618156e-01 5.80695712e-01 2.08068369e-01
 2.82485343e-01 5.28816010e+01 7.49281684e+01 7.86716794e+01
 6.38821464e-02]",-204.00366672042853,787.3428808286541,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
