Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G1,1,"[4.42488450e-01 7.34175247e-01 5.24187487e-01 8.89773127e-01
 2.46783841e-01 2.50168729e-01 8.68254371e-01 5.53510682e-02
 6.54991840e-01 9.55519488e+01 9.65089360e+01 4.84763292e+01
 9.99766069e-01]",-239.9703099753942,835.6328865274763,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,2,"[2.24182544e-02 3.93632553e-01 3.28629947e-01 2.44009655e-01
 4.62956492e-01 9.22353301e-01 1.93349496e-01 8.34272313e-01
 9.37337552e-01 6.82390903e+01 6.07655922e+01 8.17869739e+01
 8.29354415e-01]",-212.7144090551256,746.3538981042605,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,3,"[8.82857405e-01 2.53305826e-01 2.76198482e-01 2.25604460e-01
 2.93313083e-02 8.00308719e-02 5.25046797e-01 5.83807178e-01
 7.24788358e-01 8.62619801e+01 9.69086095e+01 8.25894792e+01
 8.98358799e-01]",-265.26982299861004,948.0707969688832,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,4,"[ 0.36186677  0.73138418  0.59966556  0.69006569  0.46141771  0.69093387
  0.62274199  0.36193851  0.19543988 77.67138736 98.6655619  90.95698815
  0.26370379]",-266.5480327664606,959.9672204451334,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,5,"[ 0.43926712  0.39854937  0.90118744  0.74643671  0.22871955  0.92703741
  0.2500159   0.91455079  0.86340281 85.58041047 71.67043424 63.64623424
  0.10083281]",-220.62151701532514,764.5337015001895,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,6,"[ 0.54576277  0.31260094  0.46056469  0.14051198  0.9530949   0.76498213
  0.22091591  0.25760707  0.15282268 95.38041683 51.17448457 98.47958678
  0.84162823]",-248.60748564559793,855.8287864603939,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,7,"[4.93148007e-01 2.92145529e-01 8.27728086e-01 8.39961050e-01
 2.99912839e-01 5.61169733e-01 1.14929610e-01 4.01876264e-01
 3.41558119e-01 8.49885627e+01 9.30438894e+01 1.85593177e+01
 9.46597580e-03]",-195.10156916414752,670.5640154964034,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,8,"[ 0.97200307  0.98616493  0.09499394  0.73562059  0.47430168  0.69511685
  0.46893521  0.14653149  0.30229598 83.69568304 92.20728731 75.93779371
  0.8607814 ]",-254.3069881540373,891.0546547344928,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,9,"[ 0.40503544  0.48903879  0.93449181  0.96086211  0.14870117  0.35768609
  0.2754334   0.88901552  0.93240447 47.60124659 95.66666224 92.31590167
  0.75263355]",-236.10182205846888,861.6480647784389,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,10,"[2.21178591e-01 1.04168126e-01 3.50587395e-01 4.78727349e-01
 5.15929400e-01 9.79220026e-01 5.54360306e-01 2.03907092e-02
 7.98948682e-01 3.78588332e+01 7.98613629e+01 8.84627608e+01
 1.00281286e-01]",-206.76900750720034,759.3433431918484,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
