Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G6,1,[13.60328876  0.        ],-7953.216016070548,0.0,[]
G6,2,[13.60328876  0.        ],-7953.2160160774965,0.0,[]
G6,3,[13.60328957  0.        ],-7953.215984732492,0.0,[]
G6,4,[13.60328876  0.        ],-7953.216016071517,0.0,[]
G6,5,[13.60328876  0.        ],-7953.216016045485,0.0,[]
G6,6,[13.60328876  0.        ],-7953.216016028726,0.0,[]
G6,7,[15.00793848  5.08527382],-3192.170443450827,1.8258769562375505,"[0, 1]"
G6,8,[13.60328876  0.        ],-7953.216015970704,0.0,[]
G6,9,[13.60328876  0.        ],-7953.21601608016,0.0,[]
G6,10,[18.77613009  9.36630924],-526.4670445870528,108.84641668877123,[0]
G6,11,[13.60328876  0.        ],-7953.216016081305,0.0,[]
G6,12,[13.60328876  0.        ],-7953.216016074148,0.0,[]
G6,13,[13.62359165  0.        ],-7952.420732474478,0.0,[]
G6,14,[13.60328876  0.        ],-7953.216016048374,0.0,[]
G6,15,[13.60328878  0.        ],-7953.216015413505,0.0,[]
G6,16,[14.0923192   9.16279148],-1204.2425300071463,0.0,[]
G6,17,[13.60328876  0.        ],-7953.216016057663,0.0,[]
G6,18,[13.60328876  0.        ],-7953.216016067171,0.0,[]
G6,19,[13.60328876  0.        ],-7953.2160160718895,0.0,[]
G6,20,[13.60328876  0.        ],-7953.2160160799895,0.0,[]
G6,21,[1.36032888e+01 7.93635990e-17],-7953.216015007244,0.0,[]
G6,22,[13.60328876  0.        ],-7953.216016079997,0.0,[]
G6,23,[13.60328876  0.        ],-7953.216016081012,0.0,[]
G6,24,[13.60328876  0.        ],-7953.216016034912,0.0,[]
G6,25,[13.60328876  0.        ],-7953.21601608102,0.0,[]
G6,26,[13.60328876  0.        ],-7953.2160160773765,0.0,[]
G6,27,[13.60328877  0.        ],-7953.216015654675,0.0,[]
G6,28,[13.60330832  0.        ],-7953.215254188558,0.0,[]
G6,29,[13.60328876  0.        ],-7953.216016064422,0.0,[]
G6,30,[13.60328876  0.        ],-7953.216016076485,0.0,[]
