Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G6,1,[36.49936456  9.21387714],17353.42396876056,865.1579990495788,[1]
G6,2,[69.6066341  79.64770005],423996.8976169884,9535.273024686196,[1]
G6,3,[84.34267569 80.0946628 ],627903.5572111111,11693.973214959351,[1]
G6,4,[25.04649018 14.93644986],3276.651138230741,378.6918241992859,[1]
G6,5,[85.60447233 93.61447788],831081.4840938969,14106.587705411754,[1]
