Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G5,1,[ 5.59952327e+02  7.78975743e+02  2.49979420e-01 -1.13268901e-01],3728.502938247239,873.6167310608624,"[2, 3, 4]"
G5,2,[ 4.39227896e+02  3.73152911e+02  1.20719958e-01 -9.76065199e-02],2183.3651711848497,922.3353622544355,"[2, 3, 4]"
G5,3,[ 5.09049241e+02  9.67903421e+02  3.50441650e-01 -3.10494964e-02],4199.376914752288,981.8303537276772,"[2, 3, 4]"
G5,4,[ 1.10712190e+02  2.72097368e+02 -1.51223766e-01 -1.06516452e-01],891.1185038029088,1342.7172032096457,"[2, 3, 4]"
G5,5,[ 9.35987518e+02  4.90927527e+02 -3.87566301e-02  1.83134349e-01],4688.689565978143,2205.919414377456,"[2, 3, 4]"
