Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G4,1,[91.8756421  38.41211414 34.71686656 34.4161024  33.43783273],-28340.849187669628,0.0,[]
G4,2,[85.13298126 41.45314941 36.60213359 43.44058064 39.679482  ],-27616.2667118256,0.44529858590351523,[0]
G4,3,[89.96161317 38.46305803 35.56033765 35.17166481 35.03712161],-28027.883578198645,0.0,[]
G4,4,[83.45608894 37.90650666 34.26337261 38.93207665 33.95543246],-29021.620416190504,0.0,[]
G4,5,[98.17744223 44.01621835 41.64018951 42.84641037 42.0192718 ],-24393.267539119537,2.578718016915314,"[0, 2, 4]"
