Execution,Fitness,Penalty,Violated Constraints,Feasibility
1,-7981.0669,11.0000,[0],False
2,-7981.3308,11.0000,[0],False
3,-7981.2156,11.0000,[0],False
4,-7980.9767,11.0000,[0],False
5,-7981.3701,11.0000,[0],False
6,-7981.2821,11.0000,[0],False
7,-7981.3389,10.9998,[0],False
8,-7981.0704,11.0000,[0],False
9,-7981.1173,11.0000,[0],False
10,-7981.0618,11.0000,[0],False
11,-7981.3311,11.0000,[0],False
12,-7981.2927,11.0000,[0],False
13,-7981.2279,11.0000,[0],False
14,-7981.1762,11.0000,[0],False
15,-7981.1709,11.0000,[0],False
16,-7981.0483,11.0000,[0],False
17,-7981.2003,11.0000,[0],False
18,-7981.1161,11.0000,[0],False
19,-7981.1080,11.0000,[0],False
20,-7981.3713,11.0000,[0],False
21,-7981.6311,11.0000,[0],False
22,-7981.3090,11.0000,[0],False
23,-7981.2451,11.0000,[0],False
24,-7981.2259,11.0000,[0],False
25,-7981.1937,11.0000,[0],False
26,-7981.2067,11.0000,[0],False
27,-7981.2866,10.9999,[0],False
28,-7981.3286,11.0000,[0],False
29,-7981.1700,11.0000,[0],False
30,-7981.1413,10.9999,[0],False
Average,-7981.220,,,
Std Dev,0.131,,,
