Execution,Fitness,Penalty,Violated Constraints,Feasibility
1,-32217.1937,2.4215,[5],False
2,-32217.1708,2.5112,[5],False
3,-32217.1101,3.2161,[5],False
4,-32217.1037,3.2343,[5],False
5,-32217.1911,2.3229,[5],False
6,-32217.1086,3.2365,[5],False
7,-32217.1168,3.2370,[5],False
8,-32217.1172,3.2327,[5],False
9,-32217.1186,3.2004,[5],False
10,-32217.0920,3.2371,[5],False
11,-32217.1224,3.1851,[5],False
12,-32217.1904,2.4267,[5],False
13,-32217.1066,3.1930,[5],False
14,-32217.1140,3.2368,[5],False
15,-32217.1868,2.4630,[5],False
16,-32217.1257,3.2161,[5],False
17,-32217.2000,2.3680,[5],False
18,-32217.1761,2.3499,[5],False
19,-32217.1122,3.2371,[5],False
20,-32217.1133,3.2339,[5],False
21,-32217.1131,3.2371,[5],False
22,-32217.1751,2.4787,[5],False
23,-32217.1153,3.2325,[5],False
24,-32217.1225,3.1550,[5],False
25,-32217.1174,3.1965,[5],False
26,-32217.1947,2.4122,[5],False
27,-32217.1789,2.3327,[5],False
28,-32217.1811,2.4354,[5],False
29,-32217.1187,3.2026,[5],False
30,-32217.1566,2.3826,[5],False
Average,-32217.141,,,
Std Dev,0.036,,,
