Execution,Fitness,Penalty,Violated Constraints,Feasibility
1,-382.067,1149.096,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
2,-383.558,1152.826,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
3,-381.457,1149.128,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
4,-383.549,1152.719,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
5,-382.086,1149.041,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
6,-381.855,1149.195,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
7,-384.863,1156.922,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
8,-383.758,1152.944,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
9,-383.564,1153.221,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
10,-381.993,1149.154,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
11,-383.685,1152.900,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
12,-385.183,1156.973,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
13,-383.744,1152.718,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
14,-382.008,1149.075,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
15,-382.098,1149.148,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
16,-382.132,1149.053,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
17,-381.998,1149.150,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
18,-382.169,1148.989,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
19,-381.875,1149.341,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
20,-383.684,1153.063,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
21,-384.814,1156.680,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
22,-383.466,1153.091,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
23,-384.936,1156.987,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
24,-383.423,1152.787,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
25,-381.719,1149.415,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
26,-384.677,1156.749,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
27,-378.679,1138.447,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
28,-381.849,1149.459,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
29,-383.777,1152.988,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
30,-380.190,1142.696,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",False
Average,-382.829,,,
Std Dev,1.470,,,
