Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G4,1,[78.00002268 33.07735222 27.00000427 38.39586542 27.00007654],-32217.15846384705,2.6499138930984287,[5]
G4,2,[78.0000232  33.11674378 27.00015514 27.01372047 27.00004807],-32217.05798972488,3.2363921216707006,[5]
G4,3,[78.00017286 33.18723605 27.00007619 44.75322823 27.00001234],-32217.16561190099,2.3223028648744233,[5]
G4,4,[78.00000022 35.12509603 27.00000412 41.92607997 27.00005038],-32217.179746043177,2.4680078005521153,[5]
G4,5,[78.00000933 33.00513275 27.00000165 44.44535226 27.00003   ],-32217.194227393462,2.338193985624752,[5]
