Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G1,1,"[ 0.99978668  0.99757664  0.99631872  0.99991563  0.96944754  0.99992314
  0.99999981  0.9337181   0.99999845 99.92639249 99.99963266 99.99854914
  0.99946685]",-190.9065129494118,1148.8870094932222,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,2,"[ 0.99971298  0.85306168  0.99898106  0.99994704  0.99970194  0.9999924
  0.99988745  0.98711725  0.99996291 99.99758097 99.86969664 99.74956543
  0.99824371]",-190.1595540888432,1148.086683631603,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,3,"[ 0.99860533  0.99992721  0.99999934  0.9999904   0.99095505  0.99782473
  0.99977225  0.98894068  0.99768487 99.99981048 99.99896188 99.99960777
  0.99999225]",-191.0624242060103,1149.0374691972572,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,4,"[ 0.99479454  0.99999926  0.99952553  0.99508569  0.99965613  0.99916726
  0.99996973  0.99849988  0.98727387 98.23597188 99.99847514 99.99785713
  0.99291253]",-189.95911256542047,1141.9795338867889,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
G1,5,"[ 0.99930781  0.99992425  0.99995067  0.97934444  0.98115855  0.99999099
  0.99996321  0.99890818  0.99949628 99.97888181 99.99995661 99.99890548
  0.99994355]",-190.95426230865323,1148.9771393701997,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
