Generation,Execution,Best Fitness
0,0,-5.724917752080325
1,0,-5.724917752080325
2,0,-5.724917752080325
3,0,-5.724917752080325
4,0,-5.724917752080325
5,0,-5.724917752080325
6,0,-5.724917752080325
7,0,-5.724917752080325
8,0,-5.724917752080325
9,0,-5.724917752080325
10,0,-5.724917752080325
11,0,-6.077977535935668
12,0,-6.077977535935668
13,0,-6.077977535935668
14,0,-6.077977535935668
15,0,-6.077977535935668
16,0,-6.546273758213916
17,0,-6.546273758213916
18,0,-6.546273758213916
19,0,-6.546273758213916
20,0,-6.546273758213916
21,0,-6.546273758213916
22,0,-6.546273758213916
23,0,-6.546273758213916
24,0,-6.78057075845259
25,0,-6.834675058114249
26,0,-6.886607516197311
27,0,-6.886607516197311
28,0,-6.886607516197311
29,0,-6.886607516197311
30,0,-6.886607516197311
31,0,-6.886607516197311
32,0,-6.886607516197311
33,0,-6.886607516197311
34,0,-6.886607516197311
35,0,-6.891818018074433
36,0,-6.891818018074433
37,0,-6.891818018074433
38,0,-6.891818018074433
39,0,-6.891818018074433
40,0,-6.891818018074433
41,0,-6.891818018074433
42,0,-6.891818018074433
43,0,-6.891818018074433
44,0,-6.8933684609302865
45,0,-6.8933684609302865
46,0,-6.8933684609302865
47,0,-6.8933684609302865
48,0,-6.8933684609302865
49,0,-6.8933684609302865
50,0,-6.8936536144155065
51,0,-6.893658974898642
52,0,-6.893692401709034
53,0,-6.893765797339744
54,0,-6.893796303179557
55,0,-6.893797105371492
56,0,-6.893797105371492
57,0,-6.893807227562948
58,0,-6.893813047742389
59,0,-6.893813047742389
60,0,-6.893813466715289
61,0,-6.89381503028118
62,0,-6.89381503028118
63,0,-6.89381503028118
64,0,-6.89381503028118
65,0,-6.89381503028118
66,0,-6.89381503028118
67,0,-6.893815091860297
68,0,-6.893815091860297
69,0,-6.893815091860297
70,0,-6.893815091860297
71,0,-6.893815091860297
72,0,-6.893815091860297
73,0,-6.893815091860297
74,0,-6.893815091860297
75,0,-6.893815091860297
76,0,-6.893815091860297
77,0,-6.893815091860297
