Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G4,1,[78.00001408 33.3549631  27.00000184 43.34812295 27.00000171],-32217.283998886352,2.3947370394370147,[5]
G4,2,[78.00001467 33.36890532 27.00001196 42.03264656 27.00001782],-32217.272665173397,2.46251773068488,[5]
G4,3,[78.00039643 33.00067049 27.00013934 38.90854698 27.00053176],-32217.161620649662,2.6233848051619297,[5]
G4,4,[78.00002281 33.01916242 27.00000008 38.63216793 27.00014224],-32217.248043268974,2.637730244689262,[5]
G4,5,[78.0000247  39.71623727 27.00000417 43.04211171 27.00000657],-32217.28067905864,2.4105039527865344,[5]
G4,6,[78.00000415 33.00207654 27.0000035  44.82496777 27.00006785],-32217.28787105968,2.318627380727669,[5]
G4,7,[78.00002825 33.01029598 27.00000018 27.00905497 27.00001442],-32217.184515062632,3.236679463525249,[5]
G4,8,[78.00007429 33.07378812 27.0000251  37.65634586 27.00003173],-32217.239205785212,2.688018733344471,[5]
G4,9,[78.00007261 33.00341911 27.00001107 28.98935331 27.00046727],-32217.161848329473,3.134573628729175,[5]
G4,10,[78.00000042 33.01643452 27.00009971 37.57768261 27.00000141],-32217.223554769767,2.6920564409010765,[5]
G4,11,[78.00001897 33.00256752 27.00001011 27.47961876 27.00000331],-32217.185942271688,3.2124305172388645,[5]
G4,12,[78.00004923 40.71242408 27.00001801 44.4187138  27.0004733 ],-32217.252348526446,2.3395039489113927,[5]
G4,13,[78.00022283 33.2269943  27.00000897 35.30588361 27.00016663],-32217.212175694243,2.809119542529654,[5]
G4,14,[78.00007321 33.25698535 27.00000268 40.1699724  27.00000876],-32217.261870665963,2.5585024083140873,[5]
G4,15,[78.00001109 33.56378342 27.00000447 38.89069428 27.00001086],-32217.257542946547,2.6244242765402745,[5]
G4,16,[78.00001459 33.00221346 27.00001533 27.00049105 27.00001362],-32217.180947373527,3.237117135125281,[5]
G4,17,[78.00000149 33.00340819 27.00000202 27.00064876 27.0000472 ],-32217.183394980922,3.2371088677721502,[5]
G4,18,[78.0000136  36.81916539 27.00000813 34.88649953 27.00006112],-32217.229285908437,2.830750932884417,[5]
G4,19,[78.00014162 33.00001377 27.00001708 27.00221398 27.00003214],-32217.171641882152,3.23702121509724,[5]
G4,20,[78.00008911 33.18172943 27.00000023 43.93090608 27.00080309],-32217.230950344398,2.364602717483475,[5]
G4,21,[78.00035502 40.48355751 27.00000184 44.99917808 27.0000305 ],-32217.2707256635,2.309643781233742,[5]
G4,22,[78.00000467 33.16380057 27.00000813 27.00019119 27.00017634],-32217.173018036894,3.2371142521563385,[5]
G4,23,[78.00005436 33.0372942  27.00002051 27.00700886 27.00018361],-32217.166033215257,3.2367569138349666,[5]
G4,24,[78.00001763 33.00710631 27.00000261 27.00009862 27.00000248],-32217.18516959025,3.237142184890814,[5]
G4,25,[78.00000352 33.06248998 27.00000162 28.61814398 27.00000031],-32217.196788758974,3.1537661376271053,[5]
G4,26,[78.00000023 33.46186622 27.00000337 27.00036972 27.00002901],-32217.184264149408,3.2371252263253503,[5]
G4,27,[78.00000254 33.00011479 27.00000667 43.01620672 27.00004339],-32217.278740314036,2.411834134243275,[5]
G4,28,[78.00008064 33.00010548 27.00007001 42.49266218 27.00010242],-32217.248982949743,2.438782609494325,[5]
G4,29,[78.00005082 33.03386358 27.00004681 27.57211264 27.00000003],-32217.17422636996,3.20765350843714,[5]
G4,30,[78.00000371 33.01190803 27.00000386 27.04269008 27.00000751],-32217.185587055796,3.2349469557049098,[5]
