Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G5,1,[ 6.93316068e+02  1.00899189e+03  1.08170239e-01 -4.00913569e-01],5119.7742994417085,2.542057924370397,"[2, 3, 4]"
G5,2,[ 7.50506851e+02  9.42884759e+02  6.60838379e-02 -4.18888764e-01],5158.34330063783,7.502453910765894,"[2, 3, 4]"
G5,3,[ 5.55893948e+02  1.15237592e+03  2.05745144e-01 -3.53244325e-01],5205.442292543498,8.017105222531502,"[0, 2, 3, 4]"
G5,4,[ 5.91301600e+02  1.11647478e+03  1.80662508e-01 -3.65732931e-01],5156.784814016248,5.021117373328707,"[2, 3, 4]"
G5,5,[ 6.26072616e+02  1.07770943e+03  1.55268017e-01 -3.77450464e-01],5132.068820151185,5.543282258111503,"[2, 3, 4]"
G5,6,[ 6.95640677e+02  1.00164044e+03  1.04821671e-01 -4.00434421e-01],5126.699950097276,6.380389025374257,"[2, 3, 4]"
G5,7,[ 8.65263634e+02  8.29118563e+02 -1.27278883e-02 -4.58942561e-01],5298.962119031411,5.284195308401195,"[2, 3, 4]"
G5,8,[ 8.91817824e+02  8.01867202e+02 -3.12290653e-02 -4.68107941e-01],5355.405192025211,6.2361557255535445,"[2, 3, 4]"
G5,9,[ 7.71191349e+02  9.24142297e+02  5.22944742e-02 -4.26657781e-01],5164.268518863586,5.353248855015977,"[2, 3, 4]"
G5,10,[ 8.61974084e+02  8.32423321e+02 -1.04485516e-02 -4.57873673e-01],5292.456287208266,5.280673132264724,"[2, 3, 4]"
G5,11,[ 9.27858638e+02  7.64520988e+02 -5.60705023e-02 -4.80133320e-01],5449.948569374186,8.148235397794792,"[2, 3, 4]"
G5,12,[ 7.58966506e+02  9.34685537e+02  6.01225925e-02 -4.21889885e-01],5162.2847992750485,6.981155742948886,"[2, 3, 4]"
G5,13,[ 6.86290907e+02  1.01062453e+03  1.11292564e-01 -3.97464428e-01],5125.758198320045,7.361642936687872,"[2, 3, 4]"
G5,14,[ 6.73476485e+02  1.02406040e+03  1.20379486e-01 -3.93196568e-01],5125.6824693546905,7.613076711020767,"[2, 3, 4]"
G5,15,[ 7.68717524e+02  9.27656710e+02  5.43084125e-02 -4.26095161e-01],5160.061793611214,4.582025435881405,"[2, 3, 4]"
G5,16,[ 8.28291686e+02  8.62282910e+02  1.17491868e-02 -4.44998112e-01],5258.819870493778,8.346288233926998,"[2, 3, 4]"
G5,17,[ 6.81155273e+02  1.01880472e+03  1.15786118e-01 -3.96132814e-01],5117.793593179447,5.078596566696433,"[2, 3, 4]"
G5,18,[ 6.78730791e+02  1.02159018e+03  1.17473595e-01 -3.95417089e-01],5117.343302805469,4.913985443381307,"[2, 3, 4]"
G5,19,[ 8.15296818e+02  8.78540577e+02  2.06853898e-02 -4.42126074e-01],5221.943458255149,5.876826758537618,"[2, 3, 4]"
G5,20,[ 6.61202497e+02  1.03898516e+03  1.29491372e-01 -3.88821419e-01],5124.747608069179,5.855377449999423,"[2, 3, 4]"
G5,21,[ 5.45624319e+02  1.16846890e+03  2.14490998e-01 -3.50849592e-01],5210.32283546906,4.3691871224623515,"[0, 2, 3, 4]"
G5,22,[ 8.91512696e+02  8.00600359e+02 -3.13054434e-02 -4.67410860e-01],5363.041291949501,7.491990365670063,"[2, 3, 4]"
G5,23,[ 8.18503192e+02  8.76322894e+02  1.94717508e-02 -4.42582135e-01],5222.736194497455,4.805445350549576,"[2, 3, 4]"
G5,24,[ 7.04379046e+02  9.93097163e+02  9.87644069e-02 -4.03233931e-01],5130.734632769732,5.644555814467822,"[2, 3, 4]"
G5,25,[ 6.83939766e+02  1.01828533e+03  1.14551727e-01 -3.97476912e-01],5117.587536066345,3.0269321222128838,"[2, 3, 4]"
G5,26,[ 7.37702046e+02  9.58800298e+02  7.53950238e-02 -4.15647340e-01],5137.224003287542,5.475542200055202,"[2, 3, 4]"
G5,27,[ 8.23833703e+02  8.66389449e+02  1.44599477e-02 -4.44587149e-01],5245.64688393071,9.130864090226964,"[2, 3, 4]"
G5,28,[ 6.42719600e+02  1.06125451e+03  1.43605043e-01 -3.83422212e-01],5123.007152394049,4.165948705709411,"[2, 3, 4]"
G5,29,[ 5.94624872e+02  1.11222012e+03  1.78023262e-01 -3.66606335e-01],5155.310309911673,5.420936222463183,"[2, 3, 4]"
G5,30,[ 1.02194376e+03  6.77734465e+02 -1.18421941e-01 -5.13492258e-01],5714.604977946816,5.692025394547841,"[2, 3, 4]"
