Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G6,1,[1.36120509e+01 2.49301153e-06],-7951.811120493092,0.9658981088626319,"[0, 1]"
G6,2,[1.36001227e+01 2.08433484e-05],-7951.706158428099,1.038097695168858,[0]
G6,3,[1.36130387e+01 6.53848234e-06],-7951.803526498884,0.9639225579328468,"[0, 1]"
G6,4,[1.36110741e+01 3.06056332e-07],-7951.814952450823,0.9678517119329939,"[0, 1]"
G6,5,[1.36109253e+01 9.67483129e-07],-7951.814192845062,0.9681493998379835,"[0, 1]"
G6,6,[1.36028402e+01 5.90093230e-06],-7951.760011518036,0.9912001003218052,[0]
G6,7,[1.36098348e+01 2.61173693e-06],-7951.811505122094,0.9703303707123183,"[0, 1]"
G6,8,[1.36062244e+01 3.56065693e-05],-7951.755825619514,0.9775512799213715,"[0, 1]"
G6,9,[1.36033595e+01 2.64111301e-06],-7951.770045486828,0.9832810673508874,"[0, 1]"
G6,10,[1.36107999e+01 2.89216461e-09],-7951.815386649018,0.9684002765748687,"[0, 1]"
G6,11,[1.36076867e+01 2.01782791e-06],-7951.805581715964,0.9746265832739738,"[0, 1]"
G6,12,[1.36115092e+01 1.13924405e-06],-7951.813597690197,0.9669816933598554,"[0, 1]"
G6,13,[1.36092034e+01 3.38200535e-06],-7951.809338939945,0.9715931331607237,"[0, 1]"
G6,14,[1.36106820e+01 1.23277742e-08],-7951.81536714297,0.9686360442378685,"[0, 1]"
G6,15,[1.36107067e+01 1.05925253e-06],-7951.814090758375,0.9685866105306786,"[0, 1]"
G6,16,[1.36113970e+01 1.12184937e-07],-7951.814966952949,0.9672059512448072,"[0, 1]"
G6,17,[1.36114540e+01 1.60890256e-07],-7951.814851719825,0.9670920938295495,"[0, 1]"
G6,18,[1.36103185e+01 3.03736169e-09],-7951.8152201468665,0.9693629488735098,"[0, 1]"
G6,19,[1.36107499e+01 5.29672904e-08],-7951.815324644262,0.9685001791073944,"[0, 1]"
G6,20,[1.36111008e+01 3.25425202e-08],-7951.81527438289,0.9677984195149207,"[0, 1]"
G6,21,[1.36068371e+01 9.07022744e-07],-7951.802369005412,0.9763258879211065,"[0, 1]"
G6,22,[1.36096374e+01 1.32435235e-06],-7951.8127630394265,0.9707251561573713,"[0, 1]"
G6,23,[1.36074309e+01 6.56802625e-06],-7951.798744401199,0.975138152928821,"[0, 1]"
G6,24,[1.36096009e+01 1.09706668e-07],-7951.8141839886175,0.9707981516762345,"[0, 1]"
G6,25,[1.36063496e+01 1.48344987e-06],-7951.7985408467175,0.9773007775056044,"[0, 1]"
G6,26,[1.36094366e+01 9.36094626e-07],-7951.812854687038,0.9711267858289716,"[0, 1]"
G6,27,[1.36118696e+01 3.65901028e-07],-7951.81404401371,0.9662608194311275,"[0, 1]"
G6,28,[1.36123658e+01 4.43348227e-06],-7951.808066513209,0.9652683937516571,"[0, 1]"
G6,29,[1.36100318e+01 5.44774241e-07],-7951.814290076687,0.9699364530345349,"[0, 1]"
G6,30,[1.36064702e+01 4.34442489e-06],-7951.795838515113,0.9770595288049151,"[0, 1]"
