Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G1,1,"[np.float64(0.3096704032511696), np.float64(0.22495944885957012), np.float64(0.4224006974528079), np.float64(0.07096594241937493), np.float64(1.0), np.float64(0.964909688878602), np.float64(0.598907604976378), np.float64(0.702769978769504), np.float64(0.7212050036795344), np.float64(2.413485035608602), np.float64(2.134718579288056), np.float64(4.452222741905701), np.float64(0.6850369135961561)]",-10.11398615332116,12.591606046543141,"[2, 4, 7, 8]"
G1,2,"[np.float64(0.4275262907757605), np.float64(0.22668145733001818), np.float64(0.4013763456902635), np.float64(3.2456192489733755e-08), np.float64(0.0192781348882655), np.float64(0.25742773916529643), np.float64(0.35795690018956383), np.float64(0.6142802958249132), np.float64(0.7806553453654641), np.float64(3.3387141834499583), np.float64(1.870680425715781), np.float64(3.425046337953769), np.float64(0.418743196186317)]",-2.590385641425126,12.665684587840747,"[2, 4, 5, 7, 8]"
G1,3,"[np.float64(0.1847882384220687), np.float64(0.17533213727166322), np.float64(3.090472654868829e-05), np.float64(0.005823478428889263), np.float64(0.2701987956222116), np.float64(0.0760532702932187), np.float64(0.12380205930168461), np.float64(0.004834069853123216), np.float64(3.130226241617407e-05), np.float64(2.57971886931831), np.float64(1.9515221599677126), np.float64(0.33594751157824515), np.float64(0.17801827044761306)]",1.5746615970284532,13.705994174711204,"[1, 2, 4, 5, 7, 8]"
G1,4,"[np.float64(0.005002341662795233), np.float64(0.01830951313155005), np.float64(0.0017571917089847918), np.float64(0.00313623730811501), np.float64(0.013420121042797266), np.float64(0.020393757126411418), np.float64(0.007389843311746691), np.float64(0.0013712810000532797), np.float64(0.039561946556909214), np.float64(0.9932330029432814), np.float64(1.0910399139034175), np.float64(0.6232191539309906), np.float64(0.08110969167740976)]",3.74508193749869,14.111024304804845,"[1, 2, 4, 5, 7, 8]"
G1,5,"[np.float64(0.2705137875677248), np.float64(1.676904772741408e-15), np.float64(4.182935044956984e-14), np.float64(8.84770061239206e-05), np.float64(0.019020237529354986), np.float64(0.019697134020856225), np.float64(1.3792306018406057e-22), np.float64(0.11229907981806238), np.float64(1.2035171291100856e-15), np.float64(2.277517567476471), np.float64(0.03166310773409608), np.float64(0.8123012637435878), np.float64(6.9639563570428795e-12)]",3.152263488334844,11.525877550977867,"[1, 2, 4, 7, 8]"
