Problem,Run,Best Solution,Best Value,Constraint Violation,Violated Constraints Indexes
G6,1,"[np.float64(13.628715697991026), np.float64(9.69628193503269e-08)]",-7950.536516907325,0.9325686040179448,"[0, 1]"
G6,2,"[np.float64(13.626889404598321), np.float64(9.90075501035766e-06)]",-7950.525778296933,0.9362211908033657,"[0, 1]"
G6,3,"[np.float64(13.631101828465033), np.float64(5.935888627138609e-06)]",-7950.508089745045,0.9277963430699288,"[0, 1]"
G6,4,"[np.float64(13.626745883374307), np.float64(2.6440197610182133e-07)]",-7950.537094845109,0.9365082332513737,"[0, 1]"
G6,5,"[np.float64(13.6264069115184), np.float64(2.216266918708709e-06)]",-7950.533308114048,0.9371861769631948,"[0, 1]"
