GA Name,Problem Name,Mean,Std Dev,Min,Max,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5,Experiment 6,Experiment 7,Experiment 8,Experiment 9,Experiment 10,Experiment 11,Experiment 12,Experiment 13,Experiment 14,Experiment 15,Experiment 16,Experiment 17,Experiment 18,Experiment 19,Experiment 20
BinaryGA,Function Phi Φ,-0.47082705899999844,0.04698640758399434,-0.4987112900000683,-0.29336357000002034,-0.44264741000007546,-0.49475524999993237,-0.4769430799999359,-0.4798398599999426,-0.4968468499999371,-0.47522524999998217,-0.4987112900000683,-0.49849850000006796,-0.49712288000007254,-0.48063064999991534,-0.4864865000000004,-0.4890409700000564,-0.29336357000002034,-0.4959840200000065,-0.49044044999997516,-0.4250451200000562,-0.49800800999993716,-0.4959041000000486,-0.48418419999998974,-0.4168632199999496
RealGA,Function Phi Φ,-0.4958785137623881,0.00606669248441909,-0.49999899309970686,-0.47370299420771056,-0.49944835250080727,-0.4984312637504676,-0.49964068759318103,-0.49791384511581815,-0.4986309612839833,-0.49904608338535816,-0.49999899309970686,-0.49674660943286963,-0.4940307802788414,-0.4989152948393578,-0.4999197310979988,-0.49683945600455925,-0.4983528196850051,-0.48634881383288675,-0.4947958860472104,-0.47370299420771056,-0.4994653066693227,-0.4991800690653076,-0.4945001650929193,-0.49166216226445
