Execution,Execution,Min Per Execution,Mean Min Fitness,Std Dev Min Fitness
0,0,0.0963470185376465,13.65488415137856,15.568257758560065
1,1,0.0374437146747124,6.020478147313547,10.385857832991809
2,2,0.2326816224430938,4.955172234821405,7.593422664848912
3,3,0.0587631426596508,4.843327090187018,8.44032120983055
4,4,0.2752289288525377,5.527910743705076,8.361439770636238
5,5,0.1361578817045574,7.222072024443957,9.874602735948278
6,6,0.4141984977907725,2.7048327974792845,5.633540184160203
7,7,0.1819832743104724,4.306516017099746,8.029884992289215
8,8,0.1577813441241942,3.8806796849267524,8.852087540044751
9,9,0.0571038415834974,7.000878119758124,10.948230431299573
10,10,0.3706679188471249,3.8164788447850992,4.355698490343711
11,11,0.5771392836650987,5.6462619747632345,8.408716057476843
12,12,0.0182816255998583,4.12438032812177,11.192575337701255
13,13,0.4512461633358571,4.0269700622071545,6.8692904502063525
14,14,0.0215863784220161,5.717682457876366,8.709754823360182
15,15,0.3531355053743966,4.297208025819653,9.907381804034568
16,16,0.2004445355905736,3.1692144967862315,6.020398912083502
17,17,0.5002496961484642,6.821982392785328,11.18370742182788
18,18,0.1720911913884957,5.989695395878602,11.618686569882115
19,19,0.0979814401911124,4.541090673252579,9.29196178218272
20,20,1.129940155228777,9.830195318046547,11.750868761693251
21,21,0.1003981281830671,4.068972943535148,9.225148693129453
22,22,0.5712127812143515,5.857371553559039,11.204140683960695
23,23,0.114211263912432,4.4445012014439405,6.416672505169122
24,24,0.0941035161836092,6.129123398564279,10.801652195761314
25,25,0.0400086899826933,4.3737019291347625,8.349746327118762
26,26,0.2610788158264195,5.156290694466568,9.696347918827636
27,27,0.2152664721612427,3.664129076289494,8.838131260380075
28,28,0.0816415775077533,8.568772300583433,12.047197385364864
29,29,0.4310245370864713,6.040093606024964,10.821506130861732
