Execution,Execution,Min Per Execution,Mean Min Fitness,Std Dev Min Fitness
0,0,3.140205752240409e-11,9.92304664381776e-05,0.0001979215574399913
1,1,9.061214779237181e-09,0.0006997423791971001,0.0008358529270140897
2,2,1.5744868409950114e-05,0.0016156349771938461,0.002823419242170272
3,3,1.7811894560176998e-11,0.0012511030582007926,0.00368442832976633
4,4,3.39378967993996e-10,0.001440319399185662,0.003577794228280606
