Execution,Execution,Min Per Execution,Mean Min Fitness,Std Dev Min Fitness
0,0,-6.90359971705459,-6.256177541872132,1.0565800212406322
1,1,-6.842961094331103,-6.054246993181364,0.7521970597555133
2,2,-6.907542635271211,-6.679093457756871,0.5081557947040077
3,3,-6.905888386975309,-6.457386438655956,0.5244385355451342
4,4,-6.8539753349451304,-6.283521248234,0.4480444691532294
5,5,-6.897485622376534,-6.4633690282933935,0.7736455204802318
6,6,-6.320958708416838,-5.472716264836343,0.5892729661693905
7,7,-6.884723246510127,-6.2360735615588565,0.427616581375825
8,8,-6.606783000565697,-6.285902587564251,0.5828436662853562
9,9,-6.906572687057021,-6.3751734827397675,0.6574564673142977
10,10,-6.902976286239472,-5.896650317705458,0.9249654689293487
11,11,-6.90484819999743,-6.687120733290592,0.6959932198632285
12,12,-6.837983437711435,-6.407193933106937,0.7566354091554051
13,13,-6.812796500830486,-6.7789782904733,0.33818210357186024
14,14,-6.815742837288771,-6.281374319485784,0.8154228294366942
15,15,-6.484935302245472,-6.08355335852375,0.5660573877227689
16,16,-6.789769738017619,-6.290157503932457,0.7019023104213532
17,17,-6.8361746442030595,-6.587354128549955,0.2968076716867599
18,18,-6.666076751540497,-6.517335205140366,0.1499902485020797
19,19,-6.655440674772505,-6.07182317696102,0.7391375631332561
20,20,-5.876069488262041,-5.716381961131904,0.43975294721390995
21,21,-6.059593606649926,-5.837619258671641,0.4652631446699092
22,22,-6.778643299561637,-6.636221576410974,0.3584555108530121
23,23,-6.018332140015082,-5.793040652470932,0.4418489948462994
24,24,-6.869421461953482,-6.551418563309313,0.8363293936613221
25,25,-6.7327446853501325,-6.402343446559919,0.2825756388246009
26,26,-6.65410160265493,-6.341112422986379,0.37308456843557725
27,27,-6.0386882330492355,-5.770449686859462,0.5040654133367368
28,28,-6.609057115506449,-6.3159060369555275,0.6669971150490001
29,29,-6.886002180026162,-6.2560342815364285,0.7996403816830037
