Execution,Execution,Min Per Execution,Mean Min Fitness,Std Dev Min Fitness
0,0,-4379.684053570762,-1535.422262289353,1590.2011098011158
1,1,-12815.726403705688,-2252.3240088103853,2664.6525023538215
2,2,-21502.101282252497,-4329.423373871882,7563.427659324629
3,3,-3368.275488797358,-2431.6494758022936,1377.8655713342491
4,4,-1732.710949631116,-191.4263581055851,247.26884168404138
5,5,-1143.3884542497278,-648.4783655127653,360.419710525973
6,6,-10166.372869284203,-1888.0582888307486,3057.0515837288535
7,7,-8429.353060786698,-2938.8887520710514,1859.3492220278486
8,8,-5110.471075586222,-2818.8416766536993,1754.7558145094063
9,9,-1670.5606418450873,-955.6124757603069,551.740228367926
10,10,-3473.7086380664023,-709.9897674363215,1006.6004490466406
11,11,-4702.234726932382,-3090.99694573956,1856.3836930339373
12,12,-2565.0865843967117,-675.3588809499934,832.50740422563
13,13,-8503.16860606797,-4402.043395991715,2413.9527247736264
14,14,-7288.503370977069,-2360.1964906210305,2460.969177800526
15,15,-6021.3243653254485,-906.9305761463073,1530.3043783112937
16,16,-13809.849818712815,-6115.883420160305,3363.157201411409
17,17,-1485.6189905603767,-359.3410364360139,480.24025965439984
18,18,-28547.237335848873,-11395.348967211263,13143.139376332449
19,19,-6443.730487470491,-2652.141918603982,1658.8969533277568
20,20,-4152.434279767598,-3422.6175264541416,1432.2899002163472
21,21,-836.0926685524796,-558.3664796498823,323.6890628800753
22,22,-4266.754447585104,-2393.197280140715,1862.7918792411367
23,23,-744.505996754204,-634.7004523243728,209.89278680072243
24,24,-718.4895877748735,-359.34744877691946,253.5295499469012
25,25,-3238.297130385387,-1286.6791373939557,1415.1003203457162
26,26,-5258.097948116269,-3239.6257322704046,2537.3024510367054
27,27,-9736.382602078582,-2679.1779076765674,3585.908967408548
28,28,-1661.9331486465046,-335.701133383438,342.10376242713863
29,29,-2555.312494163574,-1753.420479016267,910.1752650284966
